year,team,ORtg,DRtg,Pace,netRtg
2023,Houston,117.1,88.0,64.0,29.1
2023,Alabama,115.4,88.3,73.5,27.1
2023,UCLA,113.2,87.4,67.0,25.8
2023,Tennessee,111.1,86.2,66.3,24.9
2023,Connecticut,118.9,92.5,67.7,26.4
2023,Purdue,118.5,92.6,64.8,25.9
2023,Arizona,119.7,95.4,73.2,24.3
2023,Saint Mary's,111.7,89.1,62.8,22.6
2023,Texas,114.6,91.6,69.5,23.0
2023,Gonzaga,122.6,98.6,70.7,24.0
2023,Marquette,119.0,96.0,69.3,23.0
2023,San Diego St.,111.3,90.1,66.8,21.2
2023,Kansas,112.9,91.5,69.9,21.4
2023,Creighton,113.8,92.8,68.6,21.0
2023,Baylor,120.9,99.5,67.7,21.4
2023,Memphis,113.9,94.2,72.2,19.7
2023,Xavier,118.6,98.4,71.2,20.2
2023,West Virginia,116.1,96.4,69.4,19.7
2023,Arkansas,110.7,92.0,70.4,18.7
2023,Iowa St.,108.2,90.0,64.9,18.2
2023,Duke,111.9,93.1,65.9,18.8
2023,Texas A&M,113.2,94.8,67.0,18.4
2023,Auburn,110.9,93.2,68.4,17.7
2023,Kansas St.,110.3,93.1,70.7,17.2
2023,Florida Atlantic,112.2,94.8,68.9,17.4
2023,TCU,110.4,93.4,70.6,17.0
2023,Virginia,110.4,93.5,62.1,16.9
2023,Utah St.,115.5,98.0,69.5,17.5
2023,Rutgers,103.9,88.3,66.7,15.6
2023,Michigan St.,111.6,95.0,65.6,16.6
2023,Maryland,111.5,95.0,65.4,16.5
2023,Indiana,112.5,95.8,68.9,16.7
2023,Kentucky,114.7,97.8,66.7,16.9
2023,Oklahoma St.,106.3,91.0,68.3,15.3
2023,Boise St.,108.2,92.9,67.3,15.3
2023,Northwestern,106.6,91.7,65.6,14.9
2023,Iowa,118.9,102.7,70.4,16.2
2023,Ohio St.,115.5,99.8,66.8,15.7
2023,North Carolina,111.2,96.1,69.7,15.1
2023,Miami FL,117.3,101.4,69.5,15.9
2023,N.C. State,113.0,97.8,70.1,15.2
2023,Penn St.,115.4,99.9,65.3,15.5
2023,Illinois,109.0,94.4,70.5,14.6
2023,USC,110.8,96.4,68.9,14.4
2023,Oregon,112.6,98.0,66.8,14.6
2023,Liberty,110.6,96.4,65.0,14.2
2023,North Texas,107.6,93.9,59.3,13.7
2023,Providence,114.9,100.4,67.7,14.5
2023,Michigan,110.9,96.9,68.3,14.0
2023,UAB,111.6,97.6,71.6,14.0
2023,Cincinnati,110.6,96.8,69.2,13.8
2023,Washington St.,110.6,96.8,64.9,13.8
2023,Oklahoma,109.3,95.8,65.9,13.5
2023,New Mexico,114.2,100.3,72.3,13.9
2023,Texas Tech,109.4,96.3,68.1,13.1
2023,Utah,106.6,93.8,66.9,12.8
2023,Seton Hall,105.2,92.6,67.3,12.6
2023,Clemson,110.0,96.8,68.8,13.2
2023,Missouri,117.5,103.8,70.0,13.7
2023,Colorado,105.3,93.3,70.0,12.0
2023,Mississippi St.,102.4,90.8,64.5,11.6
2023,Arizona St.,105.8,93.8,69.1,12.0
